id,author,author_id,text,timestamp,like_count,is_favorited,is_pinned,parent,video_id
UgxOJAt_oJ9URlD-02x4AaABAg,@X-Men7-k7v,UCHhcPI55A5fnusm1T9r2HcQ,Ini pidato apa ya .ada yg bisa jelaskan,1783900800,1,False,False,root,
UgxrYNS9mtyk4lhWuNd4AaABAg,@chelseafcfans-o8f,UCqoz-e0Ws5jp9Dtqmt6M0tQ,"Indonesia bangga mempunyai presiden seperti pak Prabowo ❤

Tegas,berani,gak pandang bulu berantas koruptor.

Sejarah mencatat sepanjang indonesia berdiri baru ada sesosok presiden yg bener2 tegas berantas korupsi kecil sampai besar. 

Wajib presiden selamanya ❤❤ pak Prabowo",1783900800,1,False,False,root,
UgxrYNS9mtyk4lhWuNd4AaABAg.AZ9v0esmXlLAZ9wcEZ2olw,@fajarnurikhsan-e1u,UC2gs4-RBBuljYa9orOI5SNg,10+6=17,1783900800,0,False,False,UgxrYNS9mtyk4lhWuNd4AaABAg,
UgwnV9YfX1I_lDzx2wB4AaABAg,@mrachmat7644,UC4Af2mG0UBO8kttRuaaxR6g,"Masa iya sih baru sesudah dilantik jadi presiden, baru sadar betapa kayanya bangsa Indonesia? Jadi selama ini belum tahu ya pak? Ah masa.",1783900800,1,False,False,root,
UgzBl3IhR3g9YpsJ-Ml4AaABAg,@AriAri-vq3mh,UCDFYoIG4JFfPRYSdSHOqk8g,Omong apa,1783900800,1,False,False,root,
UgyJvmifgHuUaQjxvAl4AaABAg,@natsirabubakar618,UCaYhD8RugIf3qedkscE7t-w,Pidatonya tdk ada perubahan.,1783900800,1,False,False,root,
UgzrIC5oQ8rFIQlTXYd4AaABAg,@UripWibowo-qr8xd,UC9n9fwUT-R4kwAiw4Z9rVkw,Omong besar dan sangat sombong,1783900800,1,False,False,root,
Ugy0nVAXyAe_4-C6qDB4AaABAg,@h3rutirta,UCtKe1elYyfUVPHh0mcpYrYg,Auto muntah,1783900800,0,False,False,root,
UgxJvi4yMvdh-fAQ9wN4AaABAg,@MikamiShankara,UCtq3RiE-cUrzdngw0QPgxtw,Tolong terbitkan PERPU perampasan asset. Nkri darurat koeruptor kolusi  suap gratifikasi bila hukuman mati melanggar Ham. Trust rakyat adalah mandat presiden,1783900800,1,False,False,root,
UgxJvi4yMvdh-fAQ9wN4AaABAg.AZ9sxE5efubAZA8TJUA4WS,@PraptoYuwono-z6o,UCUTnzg3YQB73RMqh1fJbBFA,Kok perpu. RUU nya aja disahkan jd UU. Sono lho mahasiswa ke DPR demo minta segera disahkan mjd UU. Brani ga? Klo ga brani mahasiswa itu ya cuma sontoloyo,1783900800,0,False,False,UgxJvi4yMvdh-fAQ9wN4AaABAg,
Ugw8WDcVsSDGyPdLeVh4AaABAg,@birru_langitz,UCpxTdTDaqQxGfnbFkjbJR1w,Tamu ga di undah bawaan kompeni...mau merampok sejarah dan kekayaan nusantara,1783900800,0,False,False,root,
UgwW5fNE_iCfWMkdWkp4AaABAg,@henandriekwantyowibawa2794,UCRwd8CTle2NAHN9aAn1-m9w,Selamat hari Koperasi,1783900800,2,False,False,root,
